Chi_DMSO_S9	Chi_Nutlin_S10	DMSO_1_S1_R1_001	DMSO_2_S2_R1_001	DMSO_HCT116_RPI_26_S1_R1_001	GRO15_DMSO_062111_042215	GRO18_DMSO10_062111_042215	GRO20_DMSO100_062111_042215	i13_AGTCAA_L008_R1_001	i14_AGTTCC_L008_R1_001	i17_GTAGAG_L008_R1_001	i18_GTCCGC_L008_R1_001	MA_DMSO_S3	MA_Nutlin_S4	Nuria_DMSO_S6	Nuria_Nutlin_S7	Nutlin_1_S3_R1_001	Nutlin_2_S4_R1_001	Sam_DMSO_S9_R1_001	SRR1105736	SRR1105737	SRR1105738	SRR1105739	SRR828696	stdev	variance	mean	median	coefvar
NME1-NME2	223.888145171407	216.882876451548	125.355329017803	107.25781809193	95.2812964279477	190.623148629722	184.986224271774	181.119688879448	207.940170035292	204.214964143852	99.6635795039764	115.375857728651	178.98883320196	203.41750276846	217.676436934715	207.560962405891	107.549978303218	95.2275826621179	222.3433405918	177.307857793163	101.051894236027	239.022980296147	108.118279716233	239.071145968194	52.4094547769034	2746.75095001229	168.74691221797	183.052956575611	0.310580229813072
SCD	309.780300926438	285.899294645219	112.965296845304	111.614479544082	102.505821168206	63.4661243494606	226.0378139936	277.579991369355	242.274149578745	140.557665729186	137.420339514463	107.364776938404	245.815454704325	264.816764439593	315.684470630488	264.212004751345	111.165562129252	98.0543598123467	259.935071047194	161.235224331702	111.291112409737	137.07646171515	120.012138026413	142.020071462654	80.1546459305644	6424.76726425414	181.199364585944	141.28886859592	0.442356109325904
ENO1	384.276982118612	358.79039470225	305.027922281089	146.843632333637	135.610806423621	112.704024608947	290.474944943037	246.334138884116	260.844376677572	175.621130733769	134.275792584169	126.695106091176	326.847855425994	332.649444710318	376.322761634034	335.938753299644	128.090594936914	123.071397367797	357.398856048839	207.566315409444	154.783097865291	208.241379661749	153.425688940003	298.955259180001	95.5630203151927	9132.29085176194	236.699610702584	227.287759272932	0.403731210336754
RPL31	215.491099662187	224.227235180812	242.093058579553	124.802329965384	109.963739119119	85.6439474322866	159.369204940124	183.368169465716	231.379427497335	193.536018176773	123.406694164441	98.3807579599394	203.479704017167	223.408129539906	216.34507073561	177.751567687275	120.435019402272	92.5763492187752	274.351064446405	137.388040301713	95.4542342493221	169.455129810876	110.90156784136	244.754838982796	57.5163597791595	3308.13164224571	169.081766599048	173.603348749076	0.340168907245634
SENP3-EIF4A1	224.906413786023	198.319089826703	223.988852733517	140.482997697988	143.926752069399	242.27513959587	185.560428026057	277.837200431774	203.472661300193	139.107831094605	107.253982401824	90.394453583627	167.180155857305	180.930526468024	222.214215989903	207.694841009297	135.776229034017	137.945018599132	205.747169504299	290.149422097491	251.775526398751	247.971525508812	197.207726738576	220.886245794287	52.2545972211681	2730.54293074651	193.458516897811	200.895875563448	0.270107504487745
SFPQ	209.421892206753	207.948250953598	269.840500357487	112.568535438665	102.196726147227	74.2652982472223	246.562174127789	291.853282625502	306.452549721636	279.023582626909	193.499740275653	168.414464850719	190.325922972852	235.836709640235	187.406361143585	180.008062862603	104.546952822287	89.0659574554226	294.706361718606	128.518946197156	97.7957538233402	159.360389450667	110.094417094236	234.441602029635	72.7250928819611	5288.93913468988	186.423101449574	188.866142058218	0.390107729763484
RPS29	329.268245054141	321.968409699095	259.582777991497	158.87783818412	136.645235144061	74.6605570756365	269.550020837439	335.833807646274	331.869811585462	256.309756167331	198.436572751655	145.870765079625	329.450052536948	343.528393997209	321.27970950178	279.98119766831	140.408482900045	127.79409025867	458.56352022	179.891207499666	118.34083494062	210.565013503922	125.685879134286	299.438639623495	98.268703543133	9656.73809604816	239.74170079172	257.946267079414	0.409894078579619
FUS	298.920651083854	264.0490774155	331.873492825393	123.317842828421	139.060483239705	138.170104547516	286.704135947103	290.856930586517	240.89100451015	145.209062315518	128.46507706057	94.0277491866471	230.268630530511	263.174401232662	288.028901588478	275.923224814461	126.21970704326	143.189440587535	306.486578977911	178.748979522936	124.95979590568	168.340417500551	129.728543915643	286.639528886371	77.3833151785421	5988.17746802158	208.468906752204	204.508805026724	0.371198354632922
SLC38A2	390.644614957287	475.152720987933	398.645796083405	496.360813254417	441.020512731357	99.9746756738942	517.523902393539	511.55229206327	701.381129852418	766.207126467807	519.547436604053	490.276832647479	425.772687650054	539.096677970066	382.298948355816	361.367446715796	455.293701137884	354.745913052778	768.707109915669	363.183338294934	241.541469797403	500.530236937299	269.814333094569	508.216138175188	151.691296350965	23010.2493886362	457.45232728393	465.223211062908	0.331600228709326
ERRFI1	279.887580148179	351.531904551203	79.3824310661477	488.35631075119	417.351906458699	283.526642693624	503.863949002623	667.635950409768	318.9275778935	241.944784850703	209.851232300747	147.774193199888	284.455925273933	401.214018611522	269.023175167282	265.958690425902	410.919990334779	299.020040407432	412.797429295464	179.651553697424	231.333074571859	184.022885894744	275.042010605161	540.192352778207	136.61737037227	18664.3058874339	322.652733766249	283.991283983779	0.423419224680254
HNRNPU	170.023872097642	184.8739084777	196.139671125265	102.641054468202	97.3711531693109	363.469828336477	242.498386767681	305.266424761016	236.754601095439	205.791083070251	168.376883870754	130.27644906096	173.855566550298	221.12354389293	159.394996980678	147.096110000318	96.8373441735498	71.7220017865854	302.891803371824	120.712617820127	101.39689533386	121.546412699193	104.163205185704	160.648855548289	74.717502079172	5582.70511695108	174.369694568502	164.512869709521	0.428500504425778
HSPD1	189.296777444043	190.104189032842	135.548747180588	121.594388988311	113.389956973578	203.080385257492	233.692435249117	313.209524113127	281.385243084196	235.80040563379	184.602518988868	154.094421620707	180.811164548077	209.682391325358	181.047071471606	161.133376208067	119.422507121455	102.208918119365	269.447416598168	193.904901143917	121.024305376698	216.420278556448	128.526545815911	161.436777702931	55.926225691063	3127.74272004772	183.369360314778	182.824795230237	0.3049922058683
CCND1	500.011421939581	512.001107975291	92.4006879353011	299.316306881669	299.17731232169	426.617119003992	325.122419901925	371.735290227528	237.202855550795	185.678429686905	116.341791901497	136.892548549181	307.782868137119	360.488003813232	533.304023146067	553.981948648135	268.422633938699	249.785663150333	419.582742470296	223.778418427734	165.332927216678	229.059579035371	168.011916985037	388.28028525879	135.239361046927	18289.6847763811	307.096179254285	299.246809601679	0.440381125468007
EIF4G2	187.884634629281	198.585756800078	272.864809837978	127.277267842979	115.761907130103	136.984406627581	201.452784181929	320.101716419249	212.588309023628	193.553997222067	151.384378149359	140.313389550217	182.170927091809	199.108635594275	177.726088291834	158.502149286216	116.769570607236	110.120827795094	228.666191841675	166.26130678414	120.945009277458	200.613883439736	142.638453629184	186.522520538539	50.6185521861633	2562.23782542334	177.033288399652	179.948507691821	0.285926746566963
NOLC1	309.184999942005	331.210602655547	209.922173722998	148.883715785502	145.313220439124	74.3439503283493	216.313503688729	247.451563623266	221.750653219418	131.931567270272	104.714221438547	88.7478971010153	200.055053812121	250.60342726239	325.411476228462	330.806874465857	144.890898787942	137.427585697612	338.097985490997	198.532662134953	119.760360610696	188.939546761555	118.901709957503	224.96199792063	82.0636812288149	6734.44777682454	200.339902014395	199.293857973537	0.409622249006182
RPS19	319.293211810387	306.676988596385	350.494959558346	151.363838551048	144.616696518096	160.570482192593	200.48219575568	240.541172221216	276.097411907507	227.881253060524	114.590197103579	116.142805897206	217.788662682399	271.16776724095	301.909874775177	300.026718748779	165.88618720327	159.581597188167	309.154157434011	248.743722849058	126.502577701697	294.807250351476	149.255652197433	259.927225124129	73.8741509693944	5457.39018144888	225.562608611213	234.21121264087	0.327510625206176
RPL17-C18orf32	305.486661728445	308.794457959789	319.607052234694	187.897971290867	179.803114399901	145.796211116887	180.722915251707	174.139834082912	297.533822058438	247.196879987372	162.492042041908	130.633995709586	277.792949891739	314.248502602682	299.701586695427	281.390601002185	184.109014847412	167.673980735729	323.486291529573	161.887189693369	118.115798354491	179.962808040174	131.929207981999	246.0558575655	70.9385600708511	5032.27930492576	221.935781116783	186.003493069139	0.319635525708778
THUMPD3-AS1	237.790100775574	264.782071564278	228.068556408393	147.307779794214	129.332661196927	43.1536820672433	230.010767983803	173.128279561208	226.215257961637	186.543325267761	137.8856326503	110.477500868108	265.268007027328	295.930688134048	219.004915639581	183.419967666191	130.740678200633	97.1000614767353	405.279782485337	117.206679989199	111.36279284798	133.900954148082	111.9684186969	281.267640062199	81.7177189698484	6677.78559363512	186.131091769736	178.2741236137	0.439033146976552
TAF1D	433.050396221035	437.06549500913	321.143986683891	268.496797339278	234.164293558881	58.9862730149832	406.309618732351	502.323213299951	421.875374978343	398.863247805256	295.165688517589	265.782534808733	420.755165754981	498.64833133519	408.193989343034	339.959162289583	260.68795742493	166.608725673502	663.087402499678	267.069029300043	207.204973121299	335.645947744865	197.214093239536	393.160950693175	129.438090358888	16754.2192357555	341.727610349552	337.802555017224	0.378775628420794
ZFAS1	1064.36079341894	1002.94778906212	963.67636053241	950.611536102715	845.88034855589	145.314254511938	892.5896747469	932.72961856346	974.023866806449	801.531435597907	525.428482942302	425.928908997794	978.846482987723	1029.57954824029	1145.80850328567	966.161881392347	885.427794295243	820.126502205027	1376.09162831276	700.333871754152	498.280230646454	763.466434899196	491.570591835025	969.451941544306	265.646110413551	70567.8559778487	839.590353384876	912.65964665518	0.316399669603846
